feature,dlt,blood,constitutional,infection,gi,os
Pub_Year,0.018363869,0.04064185,0.029671922,0.01090469,0.008220112416538332,0.26683435409580025
Asia,0.002670173,0.00040094167,0.015806332,0.0,0.0,0.21310132195760137
N_Patient,0.009249195,0.025130093,0.010215815,0.008785009,0.0014485935164357698,0.0
FRAC_MALE,0.025691396,0.009211298,0.026373228,0.017503442,0.01865802548808278,0.0
AGE_MED,0.024957731,0.017395532,0.016746562,0.016583763,0.02702351919868034,0.005129439551684001
Prior_Palliative_Chemo,0.006534378,0.00458261,0.0035734419,0.0037202016,0.020587848793179382,0.3227749290447808
Primary_Stomach,0.0122295115,0.009058231,0.04397638,0.004245387,0.013125820951346812,0.0
Primary_GEJ,0.008525897,0.004227509,0.010809722,0.0043552895,0.0,0.0
ECOG_MEAN,0.0067891874,0.017017875,0.031540442,0.0054302593,0.0,0.25329223693164477
Caelyx_Ind,0.0,0.0,0.0,0.0,0.0,0.012731934231903936
Capecitabine_Ind,0.0,0.00032299545,0.0,0.00093134475,0.0,0.0
Carboplatin_Ind,0.0,0.00035280298,0.0,0.0,0.0,0.0
Carmustine_Ind,0.0,0.0,0.0,0.0,0.0,0.0
Cisplatin_Ind,0.013578613,0.01701029,0.0,0.004238314,0.0,0.37002895519279755
Docetaxel_Ind,0.017785445,0.01707897,0.0,0.018215574,0.011927395769155757,0.28474669667105934
Doxifluridine_Ind,0.0014365267,0.0018424714,0.0009913843,0.0,0.0,0.0
Doxorubicin_Ind,0.0052914694,0.005830451,0.003804278,0.0009425616,0.0,0.0
Epirubicin_Ind,0.0,0.002306094,0.0019899406,0.0033679653,0.0,0.12324262514518938
Erlotinib_Ind,0.0,0.0,0.0,0.0,0.0010698830489608018,0.007475970110978794
Etoposide_Ind,0.0,0.0,0.0,0.003066977,0.0,0.0
Fluorouracil_Ind,0.0,0.0,0.00037081403,0.00043480875,0.0,0.0
Gemcitabine_Ind,0.0,0.0,0.0,0.0004042345,0.000591460153000624,0.0
Heptaplatin_Ind,0.0,0.0,0.0,0.0,0.003994933445463259,0.0
Irinotecan_Ind,0.0039307903,0.0035782985,0.0,0.0,0.0,0.23906719928187686
Leucovorin_Ind,0.0,0.0,0.0,0.0051622144,0.0,0.4948329586641022
