outcome,constraint_mode,given_mean,given_sd,prescribed_mean,prescribed_sd,pct_change,n_test,n_prescribed_eval,mean_solve_time,solve_time_sd,method,n_method_feasible,realization,subsample_seed,rhs
Any_DLT,dlt_only,0.8526315789473684,0.3563533105934119,1.0,0.0,17.283950617283953,96,95,0.02789514015118281,0.0076221631951419325,cp,95,0,1042,0.6
Blood,dlt_only,0.8736842105263158,0.33396729560733096,0.9894736842105263,0.10259783520851541,13.25301204819276,96,95,0.02789514015118281,0.0076221631951419325,cp,95,0,1042,0.6
Constitutional,dlt_only,0.8736842105263158,0.333967295607331,0.968421052631579,0.1758040240472914,10.843373493975898,96,95,0.02789514015118281,0.0076221631951419325,cp,95,0,1042,0.6
Infection,dlt_only,0.8736842105263158,0.333967295607331,1.0,0.0,14.457831325301198,96,95,0.02789514015118281,0.0076221631951419325,cp,95,0,1042,0.6
Gastrointestinal,dlt_only,0.8631578947368421,0.34550383548659225,1.0,0.0,15.853658536585364,96,95,0.02789514015118281,0.0076221631951419325,cp,95,0,1042,0.6
Overall_Survival,dlt_only,10.6999871958255,1.7864730982355768,11.823893058927984,0.8981065379076749,10.503805682505543,96,95,0.02789514015118281,0.0076221631951419325,cp,95,0,1042,0.6
all_constraints,dlt_only,0.7052631578947368,0.4583430892442982,0.968421052631579,0.1758040240472914,37.313432835820905,96,95,0.02789514015118281,0.0076221631951419325,cp,95,0,1042,0.6
Any_DLT,all_constraints,0.8695652173913043,0.33862655057584784,1.0,0.0,15.000000000000004,96,92,0.13064337770144144,0.031084739973988394,cp,92,0,1042,0.6
Blood,all_constraints,0.8804347826086957,0.32623025995934074,0.9891304347826086,0.10425720702853736,12.345679012345672,96,92,0.13064337770144144,0.031084739973988394,cp,92,0,1042,0.6
Constitutional,all_constraints,0.8913043478260869,0.31296251010007803,0.967391304347826,0.17858337274913305,8.53658536585366,96,92,0.13064337770144144,0.031084739973988394,cp,92,0,1042,0.6
Infection,all_constraints,0.8913043478260869,0.31296251010007803,1.0,0.0,12.195121951219518,96,92,0.13064337770144144,0.031084739973988394,cp,92,0,1042,0.6
Gastrointestinal,all_constraints,0.8804347826086957,0.32623025995934074,1.0,0.0,13.580246913580243,96,92,0.13064337770144144,0.031084739973988394,cp,92,0,1042,0.6
Overall_Survival,all_constraints,10.75455230691418,1.776218688419382,11.686599232041875,1.2753733906651257,8.666533933992541,96,92,0.13064337770144144,0.031084739973988394,cp,92,0,1042,0.6
all_constraints,all_constraints,0.7282608695652174,0.4472937149826407,0.9565217391304348,0.20504855915155562,31.343283582089555,96,92,0.13064337770144144,0.031084739973988394,cp,92,0,1042,0.6
Any_DLT,dlt_only,0.8541666666666666,0.35479176002615415,1.0,0.0,17.07317073170732,96,96,0.16082293540239334,0.13447064381476098,cp,96,1,2042,0.6
Blood,dlt_only,0.875,0.33245498310218435,1.0,0.0,14.285714285714286,96,96,0.16082293540239334,0.13447064381476098,cp,96,1,2042,0.6
Constitutional,dlt_only,0.8645833333333334,0.34396424742808945,0.96875,0.17490598978639324,12.048192771084333,96,96,0.16082293540239334,0.13447064381476098,cp,96,1,2042,0.6
