outcome,constraint_mode,given_mean,given_sd,prescribed_mean,prescribed_sd,pct_change,n_test,n_prescribed_eval,mean_solve_time,solve_time_sd,method,n_method_feasible,realization,subsample_seed,rhs,frac,strength
Any_DLT,dlt_only,0.8541666666666666,0.35479176002615415,0.9791666666666666,0.14357588616379593,14.634146341463415,96,96,0.06042297184467316,0.047879769779534585,nominal,96,0,1042,0.6,0.3,calibrated
Blood,dlt_only,0.875,0.33245498310218435,0.9895833333333334,0.10206207261596574,13.0952380952381,96,96,0.06042297184467316,0.047879769779534585,nominal,96,0,1042,0.6,0.3,calibrated
Constitutional,dlt_only,0.8645833333333334,0.34396424742808945,0.9791666666666666,0.143575886163796,13.253012048192762,96,96,0.06042297184467316,0.047879769779534585,nominal,96,0,1042,0.6,0.3,calibrated
Infection,dlt_only,0.8645833333333334,0.34396424742808945,0.9895833333333334,0.10206207261596574,14.457831325301203,96,96,0.06042297184467316,0.047879769779534585,nominal,96,0,1042,0.6,0.3,calibrated
Gastrointestinal,dlt_only,0.8645833333333334,0.3439642474280894,0.84375,0.36499819754421575,-2.4096385542168717,96,96,0.06042297184467316,0.047879769779534585,nominal,96,0,1042,0.6,0.3,calibrated
Overall_Survival,dlt_only,10.690597206168823,1.779425762099106,11.168340118770411,1.0007415485621323,4.4688140745394,96,96,0.06042297184467316,0.047879769779534585,nominal,96,0,1042,0.6,0.3,calibrated
all_constraints,dlt_only,0.6979166666666666,0.4615714956689105,0.8229166666666666,0.3837431066870447,17.910447761194032,96,96,0.06042297184467316,0.047879769779534585,nominal,96,0,1042,0.6,0.3,calibrated
Any_DLT,all_constraints,0.8695652173913043,0.33862655057584784,1.0,0.0,15.000000000000004,96,92,0.06944041202465694,0.05134711698773457,nominal,93,0,1042,0.6,0.3,calibrated
Blood,all_constraints,0.8695652173913043,0.3386265505758479,1.0,0.0,15.000000000000004,96,92,0.06944041202465694,0.05134711698773457,nominal,93,0,1042,0.6,0.3,calibrated
Constitutional,all_constraints,0.8913043478260869,0.31296251010007803,0.9891304347826086,0.10425720702853734,10.97560975609756,96,92,0.06944041202465694,0.05134711698773457,nominal,93,0,1042,0.6,0.3,calibrated
Infection,all_constraints,0.8804347826086957,0.32623025995934074,1.0,0.0,13.580246913580243,96,92,0.06944041202465694,0.05134711698773457,nominal,93,0,1042,0.6,0.3,calibrated
Gastrointestinal,all_constraints,0.8804347826086957,0.32623025995934074,1.0,0.0,13.580246913580243,96,92,0.06944041202465694,0.05134711698773457,nominal,93,0,1042,0.6,0.3,calibrated
Overall_Survival,all_constraints,10.777286236893293,1.7248370101077528,11.353110796265215,0.9251915904868251,5.342945772385013,96,92,0.06944041202465694,0.05134711698773457,nominal,93,0,1042,0.6,0.3,calibrated
all_constraints,all_constraints,0.717391304347826,0.4527349601029049,0.9891304347826086,0.10425720702853734,37.878787878787875,96,92,0.06944041202465694,0.05134711698773457,nominal,93,0,1042,0.6,0.3,calibrated
Any_DLT,dlt_only,0.8541666666666666,0.35479176002615415,0.9791666666666666,0.14357588616379593,14.634146341463415,96,96,0.06944607694943745,0.05098149758555006,robust_reg,96,0,1042,0.6,0.3,calibrated
Blood,dlt_only,0.875,0.33245498310218435,0.9895833333333334,0.10206207261596574,13.0952380952381,96,96,0.06944607694943745,0.05098149758555006,robust_reg,96,0,1042,0.6,0.3,calibrated
Constitutional,dlt_only,0.8645833333333334,0.34396424742808945,0.96875,0.17490598978639324,12.048192771084333,96,96,0.06944607694943745,0.05098149758555006,robust_reg,96,0,1042,0.6,0.3,calibrated
Infection,dlt_only,0.8645833333333334,0.34396424742808945,0.9895833333333334,0.10206207261596574,14.457831325301203,96,96,0.06944607694943745,0.05098149758555006,robust_reg,96,0,1042,0.6,0.3,calibrated
Gastrointestinal,dlt_only,0.8645833333333334,0.3439642474280894,0.8125,0.3923612728354477,-6.024096385542173,96,96,0.06944607694943745,0.05098149758555006,robust_reg,96,0,1042,0.6,0.3,calibrated
Overall_Survival,dlt_only,10.690597206168823,1.779425762099106,11.052828463544644,1.0776477949036931,3.388316390470705,96,96,0.06944607694943745,0.05098149758555006,robust_reg,96,0,1042,0.6,0.3,calibrated
all_constraints,dlt_only,0.6979166666666666,0.4615714956689105,0.78125,0.41556872887773044,11.940298507462693,96,96,0.06944607694943745,0.05098149758555006,robust_reg,96,0,1042,0.6,0.3,calibrated
Any_DLT,all_constraints,0.8695652173913043,0.33862655057584784,0.9891304347826086,0.10425720702853734,13.749999999999996,96,92,0.08368588238954544,0.06442603687316568,robust_reg,94,0,1042,0.6,0.3,calibrated
Blood,all_constraints,0.8695652173913043,0.3386265505758479,1.0,0.0,15.000000000000004,96,92,0.08368588238954544,0.06442603687316568,robust_reg,94,0,1042,0.6,0.3,calibrated
Constitutional,all_constraints,0.8913043478260869,0.31296251010007803,0.9782608695652174,0.14662959759729013,9.756097560975615,96,92,0.08368588238954544,0.06442603687316568,robust_reg,94,0,1042,0.6,0.3,calibrated
Infection,all_constraints,0.8804347826086957,0.32623025995934074,1.0,0.0,13.580246913580243,96,92,0.08368588238954544,0.06442603687316568,robust_reg,94,0,1042,0.6,0.3,calibrated
Gastrointestinal,all_constraints,0.8804347826086957,0.32623025995934074,0.9891304347826086,0.10425720702853734,12.345679012345672,96,92,0.08368588238954544,0.06442603687316568,robust_reg,94,0,1042,0.6,0.3,calibrated
Overall_Survival,all_constraints,10.777286236893293,1.7248370101077528,11.311898801556659,0.9504095179624106,4.960549000111513,96,92,0.08368588238954544,0.06442603687316568,robust_reg,94,0,1042,0.6,0.3,calibrated
all_constraints,all_constraints,0.717391304347826,0.4527349601029049,0.9782608695652174,0.14662959759729013,36.363636363636374,96,92,0.08368588238954544,0.06442603687316568,robust_reg,94,0,1042,0.6,0.3,calibrated
Any_DLT,dlt_only,0.8541666666666666,0.35479176002615415,1.0,0.0,17.07317073170732,96,96,0.1004238228003184,0.03673075954334468,cp,96,0,1042,0.6,0.3,calibrated
Blood,dlt_only,0.875,0.33245498310218435,0.9895833333333334,0.10206207261596574,13.0952380952381,96,96,0.1004238228003184,0.03673075954334468,cp,96,0,1042,0.6,0.3,calibrated
Constitutional,dlt_only,0.8645833333333334,0.34396424742808945,0.9583333333333334,0.20087527770480487,10.843373493975903,96,96,0.1004238228003184,0.03673075954334468,cp,96,0,1042,0.6,0.3,calibrated
Infection,dlt_only,0.8645833333333334,0.34396424742808945,1.0,0.0,15.662650602409633,96,96,0.1004238228003184,0.03673075954334468,cp,96,0,1042,0.6,0.3,calibrated
Gastrointestinal,dlt_only,0.8645833333333334,0.3439642474280894,1.0,0.0,15.662650602409633,96,96,0.1004238228003184,0.03673075954334468,cp,96,0,1042,0.6,0.3,calibrated
Overall_Survival,dlt_only,10.690597206168823,1.779425762099106,11.315342095554909,1.0554966024995265,5.843872679307272,96,96,0.1004238228003184,0.03673075954334468,cp,96,0,1042,0.6,0.3,calibrated
all_constraints,dlt_only,0.6979166666666666,0.4615714956689105,0.9479166666666666,0.22336148028967082,35.820895522388064,96,96,0.1004238228003184,0.03673075954334468,cp,96,0,1042,0.6,0.3,calibrated
Any_DLT,all_constraints,0.8695652173913043,0.33862655057584784,1.0,0.0,15.000000000000004,96,92,0.17340906461079916,0.1116757387544204,cp,93,0,1042,0.6,0.3,calibrated
Blood,all_constraints,0.8695652173913043,0.3386265505758479,1.0,0.0,15.000000000000004,96,92,0.17340906461079916,0.1116757387544204,cp,93,0,1042,0.6,0.3,calibrated
Constitutional,all_constraints,0.8913043478260869,0.31296251010007803,0.9891304347826086,0.10425720702853734,10.97560975609756,96,92,0.17340906461079916,0.1116757387544204,cp,93,0,1042,0.6,0.3,calibrated
Infection,all_constraints,0.8804347826086957,0.32623025995934074,1.0,0.0,13.580246913580243,96,92,0.17340906461079916,0.1116757387544204,cp,93,0,1042,0.6,0.3,calibrated
Gastrointestinal,all_constraints,0.8804347826086957,0.32623025995934074,1.0,0.0,13.580246913580243,96,92,0.17340906461079916,0.1116757387544204,cp,93,0,1042,0.6,0.3,calibrated
Overall_Survival,all_constraints,10.777286236893293,1.7248370101077528,11.605496662210587,1.0664441596661234,7.684777105410148,96,92,0.17340906461079916,0.1116757387544204,cp,93,0,1042,0.6,0.3,calibrated
all_constraints,all_constraints,0.717391304347826,0.4527349601029049,0.9891304347826086,0.10425720702853734,37.878787878787875,96,92,0.17340906461079916,0.1116757387544204,cp,93,0,1042,0.6,0.3,calibrated
Any_DLT,dlt_only,0.8541666666666666,0.35479176002615415,0.9479166666666666,0.22336148028967082,10.975609756097562,96,96,0.055313353737195335,0.059401473601868364,nominal,96,1,2042,0.6,0.3,calibrated
Blood,dlt_only,0.875,0.33245498310218435,0.9479166666666666,0.22336148028967082,8.333333333333329,96,96,0.055313353737195335,0.059401473601868364,nominal,96,1,2042,0.6,0.3,calibrated
Constitutional,dlt_only,0.8645833333333334,0.34396424742808945,0.9270833333333334,0.26136450315368365,7.228915662650602,96,96,0.055313353737195335,0.059401473601868364,nominal,96,1,2042,0.6,0.3,calibrated
Infection,dlt_only,0.8645833333333334,0.34396424742808945,0.9479166666666666,0.22336148028967082,9.63855421686746,96,96,0.055313353737195335,0.059401473601868364,nominal,96,1,2042,0.6,0.3,calibrated
Gastrointestinal,dlt_only,0.8645833333333334,0.3439642474280894,0.96875,0.17490598978639324,12.048192771084333,96,96,0.055313353737195335,0.059401473601868364,nominal,96,1,2042,0.6,0.3,calibrated
Overall_Survival,dlt_only,10.690597206168823,1.779425762099106,10.91815655052698,1.0571337917028298,2.12859337948724,96,96,0.055313353737195335,0.059401473601868364,nominal,96,1,2042,0.6,0.3,calibrated
all_constraints,dlt_only,0.6979166666666666,0.4615714956689105,0.8854166666666666,0.32019045867196194,26.865671641791046,96,96,0.055313353737195335,0.059401473601868364,nominal,96,1,2042,0.6,0.3,calibrated
Any_DLT,all_constraints,0.8541666666666666,0.35479176002615415,1.0,0.0,17.07317073170732,96,96,0.09214226653178532,0.06783815173193734,nominal,96,1,2042,0.6,0.3,calibrated
Blood,all_constraints,0.875,0.33245498310218435,1.0,0.0,14.285714285714286,96,96,0.09214226653178532,0.06783815173193734,nominal,96,1,2042,0.6,0.3,calibrated
Constitutional,all_constraints,0.8645833333333334,0.34396424742808945,0.9270833333333334,0.2613645031536837,7.228915662650602,96,96,0.09214226653178532,0.06783815173193734,nominal,96,1,2042,0.6,0.3,calibrated
Infection,all_constraints,0.8645833333333334,0.34396424742808945,1.0,0.0,15.662650602409633,96,96,0.09214226653178532,0.06783815173193734,nominal,96,1,2042,0.6,0.3,calibrated
Gastrointestinal,all_constraints,0.8645833333333334,0.3439642474280894,1.0,0.0,15.662650602409633,96,96,0.09214226653178532,0.06783815173193734,nominal,96,1,2042,0.6,0.3,calibrated
Overall_Survival,all_constraints,10.690597206168823,1.779425762099106,10.661190177872433,1.015279027857313,-0.2750737655649515,96,96,0.09214226653178532,0.06783815173193734,nominal,96,1,2042,0.6,0.3,calibrated
all_constraints,all_constraints,0.6979166666666666,0.4615714956689105,0.9270833333333334,0.2613645031536837,32.8358208955224,96,96,0.09214226653178532,0.06783815173193734,nominal,96,1,2042,0.6,0.3,calibrated
Any_DLT,dlt_only,0.8541666666666666,0.35479176002615415,0.9375,0.2433321316961438,9.756097560975615,96,96,0.03125375509262085,0.045503360907236404,robust_reg,96,1,2042,0.6,0.3,calibrated
