outcome,constraint_mode,given_mean,given_sd,prescribed_mean,prescribed_sd,pct_change,n_test,n_prescribed_eval,mean_solve_time,solve_time_sd,method,n_method_feasible,realization,subsample_seed,rhs,frac,strength
Any_DLT,dlt_only,0.4155844155844156,0.4960541500218804,0.922077922077922,0.2698066445201162,121.87499999999999,96,77,0.018211031953493755,0.010365341529744963,nominal,85,0,1042,0.4,0.5,calibrated
Blood,dlt_only,0.3116883116883117,0.4662205334202242,0.6753246753246753,0.4713239594778242,116.66666666666669,96,77,0.018211031953493755,0.010365341529744963,nominal,85,0,1042,0.4,0.5,calibrated
Constitutional,dlt_only,0.4025974025974026,0.49363688603701666,0.8571428571428571,0.3522217346728334,112.90322580645159,96,77,0.018211031953493755,0.010365341529744963,nominal,85,0,1042,0.4,0.5,calibrated
Infection,dlt_only,0.16883116883116883,0.37705916758225944,0.5194805194805194,0.502896599458671,207.69230769230765,96,77,0.018211031953493755,0.010365341529744963,nominal,85,0,1042,0.4,0.5,calibrated
Gastrointestinal,dlt_only,0.3116883116883117,0.4662205334202242,0.4935064935064935,0.5032362797401965,58.33333333333334,96,77,0.018211031953493755,0.010365341529744963,nominal,85,0,1042,0.4,0.5,calibrated
Overall_Survival,dlt_only,10.693253621311035,1.6811674263399992,11.484710435118412,0.8827330817581256,7.401459292334091,96,77,0.018211031953493755,0.010365341529744963,nominal,85,0,1042,0.4,0.5,calibrated
all_constraints,dlt_only,0.1038961038961039,0.30712656333452054,0.2857142857142857,0.4547163041867237,174.99999999999997,96,77,0.018211031953493755,0.010365341529744963,nominal,85,0,1042,0.4,0.5,calibrated
Any_DLT,all_constraints,0.5333333333333333,0.507416263404925,0.8,0.4068381021724863,50.00000000000001,96,30,0.06916511555512746,0.02650659809869559,nominal,42,0,1042,0.4,0.5,calibrated
Blood,all_constraints,0.4,0.4982728791224399,0.4,0.4982728791224399,0.0,96,30,0.06916511555512746,0.02650659809869559,nominal,42,0,1042,0.4,0.5,calibrated
Constitutional,all_constraints,0.43333333333333335,0.5040069329937308,0.7666666666666667,0.4301830671520763,76.92307692307692,96,30,0.06916511555512746,0.02650659809869559,nominal,42,0,1042,0.4,0.5,calibrated
Infection,all_constraints,0.13333333333333333,0.34574590364176044,0.36666666666666664,0.4901325178535609,175.0,96,30,0.06916511555512746,0.02650659809869559,nominal,42,0,1042,0.4,0.5,calibrated
Gastrointestinal,all_constraints,0.4,0.4982728791224399,0.8,0.4068381021724863,100.0,96,30,0.06916511555512746,0.02650659809869559,nominal,42,0,1042,0.4,0.5,calibrated
Overall_Survival,all_constraints,11.034686961607068,1.5024661801560075,10.695755626876439,0.8360430716105531,-3.071508379982791,96,30,0.06916511555512746,0.02650659809869559,nominal,42,0,1042,0.4,0.5,calibrated
all_constraints,all_constraints,0.06666666666666667,0.2537081317024624,0.16666666666666666,0.3790490217894517,150.0,96,30,0.06916511555512746,0.02650659809869559,nominal,42,0,1042,0.4,0.5,calibrated
