outcome,constraint_mode,given_mean,given_sd,prescribed_mean,prescribed_sd,pct_change,n_test,n_prescribed_eval,mean_solve_time,solve_time_sd,method,n_method_feasible,realization,subsample_seed,rhs,frac,strength
Any_DLT,dlt_only,0.8541666666666666,0.35479176002615415,1.0,0.0,17.07317073170732,96,96,0.33710451424121857,0.1594024712682425,wrapper,96,0,1042,0.6,0.5,calibrated
Blood,dlt_only,0.875,0.33245498310218435,1.0,0.0,14.285714285714286,96,96,0.33710451424121857,0.1594024712682425,wrapper,96,0,1042,0.6,0.5,calibrated
Constitutional,dlt_only,0.8645833333333334,0.34396424742808945,0.96875,0.17490598978639324,12.048192771084333,96,96,0.33710451424121857,0.1594024712682425,wrapper,96,0,1042,0.6,0.5,calibrated
Infection,dlt_only,0.8645833333333334,0.34396424742808945,1.0,0.0,15.662650602409633,96,96,0.33710451424121857,0.1594024712682425,wrapper,96,0,1042,0.6,0.5,calibrated
Gastrointestinal,dlt_only,0.8645833333333334,0.3439642474280894,1.0,0.0,15.662650602409633,96,96,0.33710451424121857,0.1594024712682425,wrapper,96,0,1042,0.6,0.5,calibrated
Overall_Survival,dlt_only,10.690597206168823,1.779425762099106,11.396210611497068,0.7859046551870678,6.600317940339977,96,96,0.33710451424121857,0.1594024712682425,wrapper,96,0,1042,0.6,0.5,calibrated
all_constraints,dlt_only,0.6979166666666666,0.4615714956689105,0.96875,0.17490598978639324,38.80597014925374,96,96,0.33710451424121857,0.1594024712682425,wrapper,96,0,1042,0.6,0.5,calibrated
Any_DLT,all_constraints,0.8953488372093024,0.30789875216841534,1.0,0.0,11.688311688311686,96,86,9.965150671700636,21.587860556551952,wrapper,86,0,1042,0.6,0.5,calibrated
Blood,all_constraints,0.872093023255814,0.33594508052243144,1.0,0.0,14.666666666666668,96,86,9.965150671700636,21.587860556551952,wrapper,86,0,1042,0.6,0.5,calibrated
Constitutional,all_constraints,0.9302325581395349,0.25624885305538925,1.0,0.0,7.500000000000002,96,86,9.965150671700636,21.587860556551952,wrapper,86,0,1042,0.6,0.5,calibrated
Infection,all_constraints,0.9186046511627907,0.27504507776297615,1.0,0.0,8.86075949367089,96,86,9.965150671700636,21.587860556551952,wrapper,86,0,1042,0.6,0.5,calibrated
Gastrointestinal,all_constraints,0.9069767441860465,0.29216864496359496,1.0,0.0,10.256410256410263,96,86,9.965150671700636,21.587860556551952,wrapper,86,0,1042,0.6,0.5,calibrated
Overall_Survival,all_constraints,10.80353424328571,1.7649152543115705,11.45022930313277,0.7042211676140695,5.9859583473711355,96,86,9.965150671700636,21.587860556551952,wrapper,86,0,1042,0.6,0.5,calibrated
all_constraints,all_constraints,0.7674418604651163,0.42494064927182096,1.0,0.0,30.3030303030303,96,86,9.965150671700636,21.587860556551952,wrapper,86,0,1042,0.6,0.5,calibrated
Any_DLT,dlt_only,0.8494623655913979,0.3595358287503663,0.989247311827957,0.10369516947304255,16.455696202531644,96,93,0.4361429785688718,0.17575783296116593,wrapper,93,1,2042,0.6,0.5,calibrated
Blood,dlt_only,0.8709677419354839,0.3370526488229122,0.8709677419354839,0.3370526488229122,0.0,96,93,0.4361429785688718,0.17575783296116593,wrapper,93,1,2042,0.6,0.5,calibrated
Constitutional,dlt_only,0.8924731182795699,0.3114609889522021,0.956989247311828,0.20398095044388959,7.228915662650608,96,93,0.4361429785688718,0.17575783296116593,wrapper,93,1,2042,0.6,0.5,calibrated
Infection,dlt_only,0.8709677419354839,0.33705264882291225,0.8924731182795699,0.31146098895220203,2.4691358024691334,96,93,0.4361429785688718,0.17575783296116593,wrapper,93,1,2042,0.6,0.5,calibrated
Gastrointestinal,dlt_only,0.8602150537634409,0.34864326633713344,0.978494623655914,0.1458479422322764,13.75,96,93,0.4361429785688718,0.17575783296116593,wrapper,93,1,2042,0.6,0.5,calibrated
