outcome,constraint_mode,given_mean,given_sd,prescribed_mean,prescribed_sd,pct_change,n_test,n_prescribed_eval,mean_solve_time,solve_time_sd,method,n_method_feasible,realization,subsample_seed,rhs
Any_DLT,dlt_only,0.0,0.0,0.03333333333333333,0.18257418583505533,,96,30,0.013577297329902649,0.007568592279800341,nominal,38,0,1042,0.3
Blood,dlt_only,0.03333333333333333,0.18257418583505533,0.0,0.0,-100.0,96,30,0.013577297329902649,0.007568592279800341,nominal,38,0,1042,0.3
Constitutional,dlt_only,0.0,0.0,0.03333333333333333,0.18257418583505533,,96,30,0.013577297329902649,0.007568592279800341,nominal,38,0,1042,0.3
Infection,dlt_only,0.0,0.0,0.0,0.0,,96,30,0.013577297329902649,0.007568592279800341,nominal,38,0,1042,0.3
Gastrointestinal,dlt_only,0.03333333333333333,0.18257418583505536,0.16666666666666666,0.3790490217894517,400.0,96,30,0.013577297329902649,0.007568592279800341,nominal,38,0,1042,0.3
Overall_Survival,dlt_only,10.830122854994505,1.2015056547880216,11.035457295179727,0.9046467146028236,1.8959567027490232,96,30,0.013577297329902649,0.007568592279800341,nominal,38,0,1042,0.3
all_constraints,dlt_only,0.0,0.0,0.0,0.0,,96,30,0.013577297329902649,0.007568592279800341,nominal,38,0,1042,0.3
Any_DLT,all_constraints,0.0,0.0,0.0,0.0,,96,1,0.02259156107902527,0.01679806676936901,nominal,1,0,1042,0.3
Blood,all_constraints,1.0,0.0,0.0,0.0,-100.0,96,1,0.02259156107902527,0.01679806676936901,nominal,1,0,1042,0.3
Constitutional,all_constraints,0.0,0.0,0.0,0.0,,96,1,0.02259156107902527,0.01679806676936901,nominal,1,0,1042,0.3
Infection,all_constraints,0.0,0.0,0.0,0.0,,96,1,0.02259156107902527,0.01679806676936901,nominal,1,0,1042,0.3
Gastrointestinal,all_constraints,0.0,0.0,0.0,0.0,,96,1,0.02259156107902527,0.01679806676936901,nominal,1,0,1042,0.3
Overall_Survival,all_constraints,12.594483309895402,0.0,11.572716528474345,0.0,-8.112812223255414,96,1,0.02259156107902527,0.01679806676936901,nominal,1,0,1042,0.3
all_constraints,all_constraints,0.0,0.0,0.0,0.0,,96,1,0.02259156107902527,0.01679806676936901,nominal,1,0,1042,0.3
Any_DLT,dlt_only,0.0,0.0,0.03333333333333333,0.18257418583505533,,96,30,0.013564030329386393,0.007574051547785882,robust_reg,38,0,1042,0.3
Blood,dlt_only,0.03333333333333333,0.18257418583505533,0.0,0.0,-100.0,96,30,0.013564030329386393,0.007574051547785882,robust_reg,38,0,1042,0.3
Constitutional,dlt_only,0.0,0.0,0.03333333333333333,0.18257418583505533,,96,30,0.013564030329386393,0.007574051547785882,robust_reg,38,0,1042,0.3
Infection,dlt_only,0.0,0.0,0.0,0.0,,96,30,0.013564030329386393,0.007574051547785882,robust_reg,38,0,1042,0.3
Gastrointestinal,dlt_only,0.03333333333333333,0.18257418583505536,0.16666666666666666,0.3790490217894517,400.0,96,30,0.013564030329386393,0.007574051547785882,robust_reg,38,0,1042,0.3
Overall_Survival,dlt_only,10.830122854994505,1.2015056547880216,11.035457295179727,0.9046467146028236,1.8959567027490232,96,30,0.013564030329386393,0.007574051547785882,robust_reg,38,0,1042,0.3
all_constraints,dlt_only,0.0,0.0,0.0,0.0,,96,30,0.013564030329386393,0.007574051547785882,robust_reg,38,0,1042,0.3
Any_DLT,all_constraints,0.0,0.0,0.0,0.0,,96,1,0.022511353095372517,0.016764022965515477,robust_reg,1,0,1042,0.3
Blood,all_constraints,1.0,0.0,0.0,0.0,-100.0,96,1,0.022511353095372517,0.016764022965515477,robust_reg,1,0,1042,0.3
Constitutional,all_constraints,0.0,0.0,0.0,0.0,,96,1,0.022511353095372517,0.016764022965515477,robust_reg,1,0,1042,0.3
Infection,all_constraints,0.0,0.0,0.0,0.0,,96,1,0.022511353095372517,0.016764022965515477,robust_reg,1,0,1042,0.3
Gastrointestinal,all_constraints,0.0,0.0,0.0,0.0,,96,1,0.022511353095372517,0.016764022965515477,robust_reg,1,0,1042,0.3
Overall_Survival,all_constraints,12.594483309895402,0.0,11.572716528474345,0.0,-8.112812223255414,96,1,0.022511353095372517,0.016764022965515477,robust_reg,1,0,1042,0.3
all_constraints,all_constraints,0.0,0.0,0.0,0.0,,96,1,0.022511353095372517,0.016764022965515477,robust_reg,1,0,1042,0.3
Any_DLT,dlt_only,0.0,0.0,0.03333333333333333,0.18257418583505533,,96,30,0.012576021254062653,0.010121361704087992,cp,30,0,1042,0.3
Blood,dlt_only,0.03333333333333333,0.18257418583505533,0.0,0.0,-100.0,96,30,0.012576021254062653,0.010121361704087992,cp,30,0,1042,0.3
Constitutional,dlt_only,0.0,0.0,0.03333333333333333,0.18257418583505533,,96,30,0.012576021254062653,0.010121361704087992,cp,30,0,1042,0.3
Infection,dlt_only,0.0,0.0,0.0,0.0,,96,30,0.012576021254062653,0.010121361704087992,cp,30,0,1042,0.3
Gastrointestinal,dlt_only,0.03333333333333333,0.18257418583505536,0.3333333333333333,0.47946330148538413,900.0,96,30,0.012576021254062653,0.010121361704087992,cp,30,0,1042,0.3
Overall_Survival,dlt_only,10.830122854994505,1.2015056547880216,10.666063460508068,0.9173469666658325,-1.5148433372644285,96,30,0.012576021254062653,0.010121361704087992,cp,30,0,1042,0.3
all_constraints,dlt_only,0.0,0.0,0.0,0.0,,96,30,0.012576021254062653,0.010121361704087992,cp,30,0,1042,0.3
Any_DLT,all_constraints,0.0,0.0,0.0,0.0,,96,1,0.022160865366458893,0.01782962706245576,cp,1,0,1042,0.3
Blood,all_constraints,1.0,0.0,0.0,0.0,-100.0,96,1,0.022160865366458893,0.01782962706245576,cp,1,0,1042,0.3
Constitutional,all_constraints,0.0,0.0,0.0,0.0,,96,1,0.022160865366458893,0.01782962706245576,cp,1,0,1042,0.3
Infection,all_constraints,0.0,0.0,0.0,0.0,,96,1,0.022160865366458893,0.01782962706245576,cp,1,0,1042,0.3
Gastrointestinal,all_constraints,0.0,0.0,0.0,0.0,,96,1,0.022160865366458893,0.01782962706245576,cp,1,0,1042,0.3
Overall_Survival,all_constraints,12.594483309895402,0.0,11.57067497382453,0.0,-8.129022135163511,96,1,0.022160865366458893,0.01782962706245576,cp,1,0,1042,0.3
all_constraints,all_constraints,0.0,0.0,0.0,0.0,,96,1,0.022160865366458893,0.01782962706245576,cp,1,0,1042,0.3
Any_DLT,dlt_only,0.0,0.0,0.0,0.0,,96,53,0.020561496416727703,0.006767246740318737,nominal,80,1,2042,0.3
Blood,dlt_only,0.0,0.0,0.0,0.0,,96,53,0.020561496416727703,0.006767246740318737,nominal,80,1,2042,0.3
Constitutional,dlt_only,0.0,0.0,0.018867924528301886,0.137360563948689,,96,53,0.020561496416727703,0.006767246740318737,nominal,80,1,2042,0.3
Infection,dlt_only,0.0,0.0,0.0,0.0,,96,53,0.020561496416727703,0.006767246740318737,nominal,80,1,2042,0.3
Gastrointestinal,dlt_only,0.018867924528301886,0.137360563948689,0.1320754716981132,0.34181280577895967,600.0000000000001,96,53,0.020561496416727703,0.006767246740318737,nominal,80,1,2042,0.3
Overall_Survival,dlt_only,10.867236686526399,1.4984091312902994,10.166533665539127,1.0606005768094382,-6.447849082518178,96,53,0.020561496416727703,0.006767246740318737,nominal,80,1,2042,0.3
all_constraints,dlt_only,0.0,0.0,0.0,0.0,,96,53,0.020561496416727703,0.006767246740318737,nominal,80,1,2042,0.3
Any_DLT,all_constraints,,0.0,,0.0,,96,0,0.012509661416212717,0.00963906714960781,nominal,0,1,2042,0.3
Blood,all_constraints,,0.0,,0.0,,96,0,0.012509661416212717,0.00963906714960781,nominal,0,1,2042,0.3
Constitutional,all_constraints,,0.0,,0.0,,96,0,0.012509661416212717,0.00963906714960781,nominal,0,1,2042,0.3
Infection,all_constraints,,0.0,,0.0,,96,0,0.012509661416212717,0.00963906714960781,nominal,0,1,2042,0.3
