method,constraint_mode,outcome,rhs,prescribed_mean,prescribed_sd,worst_case,low_quantile,given_mean,n_realizations
cp,dlt_only,Any_DLT,0.6,0.9764967105263158,0.030242749146188932,0.8854166666666666,0.9453399122807017,0.8562269595393165,20.0
cp,dlt_only,Blood,0.6,0.9117927631578947,0.10760184472081327,0.6875,0.7560635964912281,0.8739901174340534,20.0
cp,dlt_only,Constitutional,0.6,0.9375860114332655,0.02353249865226539,0.8958333333333334,0.9052631578947369,0.8688964782357231,20.0
cp,dlt_only,Infection,0.6,0.9545997807017544,0.056111550168757976,0.84375,0.8821381578947368,0.8672943961073252,20.0
cp,dlt_only,Gastrointestinal,0.6,0.9744298245614036,0.03599624505012217,0.8854166666666666,0.9322916666666666,0.8667277830864787,20.0
cp,dlt_only,Overall_Survival,0.6,11.0069396024502,0.47672866448784723,10.37237973559666,10.488570705209074,10.69724625736743,20.0
cp,dlt_only,all_constraints,0.6,0.8347625465209848,0.1187312205979367,0.59375,0.6548355263157895,0.7025025460809212,20.0
cp,all_constraints,Any_DLT,0.6,0.9846726667902038,0.023516202735207357,0.9263157894736842,0.94573055028463,0.873551681977017,20.0
cp,all_constraints,Blood,0.6,0.9485191824951343,0.08812123464122058,0.7368421052631579,0.7913978494623656,0.8779310141899792,20.0
cp,all_constraints,Constitutional,0.6,0.9748415810888924,0.026435811566899878,0.8924731182795699,0.9470274390243902,0.8926882144230364,20.0
cp,all_constraints,Infection,0.6,0.9753764676033041,0.054069081703997636,0.7578947368421053,0.9617836812144213,0.8893835486900956,20.0
cp,all_constraints,Gastrointestinal,0.6,0.9917934031163739,0.013095663507827197,0.956989247311828,0.9760845383759733,0.8799641796672552,20.0
cp,all_constraints,Overall_Survival,0.6,11.216149930341704,0.4961000880031333,10.346584047635925,10.511760073022606,10.762667662776371,20.0
cp,all_constraints,all_constraints,0.6,0.9158486677604311,0.09708416476143374,0.6736842105263158,0.7301075268817204,0.7289530582283104,20.0
