outcome,constraint_mode,given_mean,given_sd,prescribed_mean,prescribed_sd,pct_change,n_test,n_prescribed_eval,mean_solve_time,solve_time_sd,method,n_method_feasible
Any_DLT,all_constraints,0.8526315789473684,0.35635331059341196,1.0,0.0,17.283950617283953,96,95,0.07640473544597626,0.013780755468044944,nominal,96
Blood,all_constraints,0.8842105263157894,0.3216697756533383,1.0,0.0,13.095238095238098,96,95,0.07640473544597626,0.013780755468044944,nominal,96
Constitutional,all_constraints,0.8631578947368421,0.3455038354865923,0.9263157894736842,0.2626422720087394,7.317073170731704,96,95,0.07640473544597626,0.013780755468044944,nominal,96
Infection,all_constraints,0.8631578947368421,0.34550383548659225,1.0,0.0,15.853658536585364,96,95,0.07640473544597626,0.013780755468044944,nominal,96
Gastrointestinal,all_constraints,0.8421052631578947,0.3665767306309684,1.0,0.0,18.750000000000007,96,95,0.07640473544597626,0.013780755468044944,nominal,96
Overall_Survival,all_constraints,10.614740841628471,1.628003979460246,11.683639243974703,0.9086450524222333,10.069943471010317,96,95,0.07640473544597626,0.013780755468044944,nominal,96
all_constraints,all_constraints,0.6947368421052632,0.46296188461572396,0.9263157894736842,0.2626422720087394,33.33333333333332,96,95,0.07640473544597626,0.013780755468044944,nominal,96
Any_DLT,dlt_only,0.8526315789473684,0.3563533105934119,1.0,0.0,17.283950617283953,96,95,0.020079632600148518,0.001950312207715828,nominal,96
Blood,dlt_only,0.8736842105263158,0.33396729560733096,1.0,0.0,14.457831325301198,96,95,0.020079632600148518,0.001950312207715828,nominal,96
Constitutional,dlt_only,0.8736842105263158,0.333967295607331,0.9368421052631579,0.2445371796902055,7.228915662650599,96,95,0.020079632600148518,0.001950312207715828,nominal,96
Infection,dlt_only,0.8736842105263158,0.333967295607331,1.0,0.0,14.457831325301198,96,95,0.020079632600148518,0.001950312207715828,nominal,96
Gastrointestinal,dlt_only,0.8421052631578947,0.3665767306309684,1.0,0.0,18.750000000000007,96,95,0.020079632600148518,0.001950312207715828,nominal,96
Overall_Survival,dlt_only,10.611419673838613,1.6297970618869357,11.748346338940584,0.8427847828628354,10.714180571945043,96,95,0.020079632600148518,0.001950312207715828,nominal,96
all_constraints,dlt_only,0.6947368421052632,0.46296188461572396,0.9368421052631579,0.2445371796902055,34.848484848484844,96,95,0.020079632600148518,0.001950312207715828,nominal,96
Any_DLT,all_constraints,0.8526315789473684,0.35635331059341196,1.0,0.0,17.283950617283953,96,95,0.13789422561724982,0.16052231989555843,cp,95
Blood,all_constraints,0.8842105263157894,0.3216697756533383,1.0,0.0,13.095238095238098,96,95,0.13789422561724982,0.16052231989555843,cp,95
Constitutional,all_constraints,0.8631578947368421,0.3455038354865923,0.9368421052631579,0.2445371796902055,8.536585365853659,96,95,0.13789422561724982,0.16052231989555843,cp,95
Infection,all_constraints,0.8631578947368421,0.34550383548659225,1.0,0.0,15.853658536585364,96,95,0.13789422561724982,0.16052231989555843,cp,95
Gastrointestinal,all_constraints,0.8421052631578947,0.3665767306309684,1.0,0.0,18.750000000000007,96,95,0.13789422561724982,0.16052231989555843,cp,95
Overall_Survival,all_constraints,10.614740841628471,1.628003979460246,11.630754198101831,0.9563459580977821,9.571720794998585,96,95,0.13789422561724982,0.16052231989555843,cp,95
all_constraints,all_constraints,0.6947368421052632,0.46296188461572396,0.9368421052631579,0.2445371796902055,34.848484848484844,96,95,0.13789422561724982,0.16052231989555843,cp,95
Any_DLT,dlt_only,0.8526315789473684,0.3563533105934119,1.0,0.0,17.283950617283953,96,95,0.027195284763971966,0.030671463602009962,cp,96
Blood,dlt_only,0.8736842105263158,0.33396729560733096,1.0,0.0,14.457831325301198,96,95,0.027195284763971966,0.030671463602009962,cp,96
Constitutional,dlt_only,0.8736842105263158,0.333967295607331,0.9368421052631579,0.2445371796902055,7.228915662650599,96,95,0.027195284763971966,0.030671463602009962,cp,96
Infection,dlt_only,0.8736842105263158,0.333967295607331,1.0,0.0,14.457831325301198,96,95,0.027195284763971966,0.030671463602009962,cp,96
Gastrointestinal,dlt_only,0.8421052631578947,0.3665767306309684,1.0,0.0,18.750000000000007,96,95,0.027195284763971966,0.030671463602009962,cp,96
Overall_Survival,dlt_only,10.611419673838613,1.6297970618869357,11.729756700924614,0.8658419487083449,10.538995360282929,96,95,0.027195284763971966,0.030671463602009962,cp,96
all_constraints,dlt_only,0.6947368421052632,0.46296188461572396,0.9368421052631579,0.2445371796902055,34.848484848484844,96,95,0.027195284763971966,0.030671463602009962,cp,96
Any_DLT,all_constraints,0.8526315789473684,0.35635331059341196,0.9894736842105263,0.10259783520851543,16.04938271604938,96,95,0.08372721821069717,0.05028413605859841,robust_reg,96
Blood,all_constraints,0.8842105263157894,0.3216697756533383,0.9789473684210527,0.14432140317088757,10.714285714285722,96,95,0.08372721821069717,0.05028413605859841,robust_reg,96
Constitutional,all_constraints,0.8631578947368421,0.3455038354865923,0.9578947368421052,0.20189472049435528,10.975609756097557,96,95,0.08372721821069717,0.05028413605859841,robust_reg,96
Infection,all_constraints,0.8631578947368421,0.34550383548659225,0.9789473684210527,0.14432140317088757,13.414634146341466,96,95,0.08372721821069717,0.05028413605859841,robust_reg,96
Gastrointestinal,all_constraints,0.8421052631578947,0.3665767306309684,1.0,0.0,18.750000000000007,96,95,0.08372721821069717,0.05028413605859841,robust_reg,96
Overall_Survival,all_constraints,10.614740841628471,1.628003979460246,11.657792679504608,0.9096020978935563,9.826446574988784,96,95,0.08372721821069717,0.05028413605859841,robust_reg,96
all_constraints,all_constraints,0.6947368421052632,0.46296188461572396,0.9473684210526315,0.22448148540588725,36.363636363636346,96,95,0.08372721821069717,0.05028413605859841,robust_reg,96
