outcome,constraint_mode,given_mean,given_sd,prescribed_mean,prescribed_sd,pct_change,n_test,n_prescribed_eval,mean_solve_time,solve_time_sd,method,n_method_feasible
Any_DLT,all_constraints,1.0,0.0,1.0,0.0,0.0,96,3,0.24116964340209962,0.06217846721935613,nominal,5
Blood,all_constraints,0.6666666666666666,0.5773502691896258,1.0,0.0,50.00000000000001,96,3,0.24116964340209962,0.06217846721935613,nominal,5
Constitutional,all_constraints,0.6666666666666666,0.5773502691896258,1.0,0.0,50.00000000000001,96,3,0.24116964340209962,0.06217846721935613,nominal,5
Infection,all_constraints,0.6666666666666666,0.5773502691896258,1.0,0.0,50.00000000000001,96,3,0.24116964340209962,0.06217846721935613,nominal,5
Gastrointestinal,all_constraints,0.6666666666666666,0.5773502691896258,1.0,0.0,50.00000000000001,96,3,0.24116964340209962,0.06217846721935613,nominal,5
Overall_Survival,all_constraints,8.897172990416154,1.2313072853977196,11.026610672308715,1.1153112590094887,23.93386847919386,96,3,0.24116964340209962,0.06217846721935613,nominal,5
all_constraints,all_constraints,0.6666666666666666,0.5773502691896258,1.0,0.0,50.00000000000001,96,3,0.24116964340209962,0.06217846721935613,nominal,5
Any_DLT,all_constraints,1.0,0.0,1.0,0.0,0.0,96,3,0.4609653949737549,0.3943811171101637,wrapper,3
Blood,all_constraints,0.6666666666666666,0.5773502691896258,1.0,0.0,50.00000000000001,96,3,0.4609653949737549,0.3943811171101637,wrapper,3
Constitutional,all_constraints,0.6666666666666666,0.5773502691896258,1.0,0.0,50.00000000000001,96,3,0.4609653949737549,0.3943811171101637,wrapper,3
Infection,all_constraints,0.6666666666666666,0.5773502691896258,1.0,0.0,50.00000000000001,96,3,0.4609653949737549,0.3943811171101637,wrapper,3
Gastrointestinal,all_constraints,0.6666666666666666,0.5773502691896258,1.0,0.0,50.00000000000001,96,3,0.4609653949737549,0.3943811171101637,wrapper,3
Overall_Survival,all_constraints,8.897172990416154,1.2313072853977196,11.016768516993764,1.1199765261941135,23.823247326547364,96,3,0.4609653949737549,0.3943811171101637,wrapper,3
all_constraints,all_constraints,0.6666666666666666,0.5773502691896258,1.0,0.0,50.00000000000001,96,3,0.4609653949737549,0.3943811171101637,wrapper,3
Any_DLT,all_constraints,1.0,0.0,1.0,0.0,0.0,96,3,0.21325945854187012,0.037838030052886086,robust_reg,5
Blood,all_constraints,0.6666666666666666,0.5773502691896258,1.0,0.0,50.00000000000001,96,3,0.21325945854187012,0.037838030052886086,robust_reg,5
Constitutional,all_constraints,0.6666666666666666,0.5773502691896258,1.0,0.0,50.00000000000001,96,3,0.21325945854187012,0.037838030052886086,robust_reg,5
Infection,all_constraints,0.6666666666666666,0.5773502691896258,1.0,0.0,50.00000000000001,96,3,0.21325945854187012,0.037838030052886086,robust_reg,5
Gastrointestinal,all_constraints,0.6666666666666666,0.5773502691896258,1.0,0.0,50.00000000000001,96,3,0.21325945854187012,0.037838030052886086,robust_reg,5
Overall_Survival,all_constraints,8.897172990416154,1.2313072853977196,11.026459123496105,1.1249694458498065,23.932165142496082,96,3,0.21325945854187012,0.037838030052886086,robust_reg,5
all_constraints,all_constraints,0.6666666666666666,0.5773502691896258,1.0,0.0,50.00000000000001,96,3,0.21325945854187012,0.037838030052886086,robust_reg,5
Any_DLT,all_constraints,1.0,0.0,1.0,0.0,0.0,96,3,0.24031224250793456,0.020304192701982207,cp,5
Blood,all_constraints,0.6666666666666666,0.5773502691896258,1.0,0.0,50.00000000000001,96,3,0.24031224250793456,0.020304192701982207,cp,5
Constitutional,all_constraints,0.6666666666666666,0.5773502691896258,1.0,0.0,50.00000000000001,96,3,0.24031224250793456,0.020304192701982207,cp,5
Infection,all_constraints,0.6666666666666666,0.5773502691896258,1.0,0.0,50.00000000000001,96,3,0.24031224250793456,0.020304192701982207,cp,5
Gastrointestinal,all_constraints,0.6666666666666666,0.5773502691896258,1.0,0.0,50.00000000000001,96,3,0.24031224250793456,0.020304192701982207,cp,5
Overall_Survival,all_constraints,8.897172990416154,1.2313072853977196,11.0290140549358,1.1167069421752824,23.96088135878689,96,3,0.24031224250793456,0.020304192701982207,cp,5
all_constraints,all_constraints,0.6666666666666666,0.5773502691896258,1.0,0.0,50.00000000000001,96,3,0.24031224250793456,0.020304192701982207,cp,5
