iteration,max_violation,objective
0,0.0127574698704627,-11.651585141238382
1,0.007037850891540298,-11.300182725921763
2,0.014854792739684637,-10.68946153166485
3,0.010331128984355186,-10.046821201283604
4,0.007493691250001615,-10.606857075935373
5,0.0047843875,-9.994773868647915
6,0.019107362565068054,-11.593550032939566
7,0.008254915176675823,-10.673820157298286
8,0.00889788319696658,-10.393674996561714
9,0.009078864069356228,-10.219171680759583
10,0.00367118785185919,-10.036822266834884
11,0.02260857086521362,-10.569841364976401
12,0.00989387581832748,-11.404436401880279
13,0.015584284802126895,-10.45331179085437
14,0.008240941455472281,-10.380172874119854
15,0.006383127287588237,-10.132802738211925
16,0.008235463538635595,-11.346021661559853
17,0.023252547878189592,-11.286491524962823
18,0.009804958313576745,-10.510461700833499
19,0.009129446588743356,-10.124694754644732
