scheme,instance,method,alpha,status,objective,f_true,feasible,covered_at_xstar,slack,x0,x1,x2,x3,x4
unit,0,cmicl,0.1,optimal,970.1885826517973,50.36841137935499,1,1,0.36841137935523705,938.8275603894672,1192.2585113635316,997.18,1.1875859821205246,11.875859821205246
unit,0,nominal,0.1,optimal,921.3857259514136,45.86636386646076,0,0,-0.6284582092811632,874.7516656512848,1166.3355542017132,997.18,1.0654520818344917,10.65452081834492
unit,1,cmicl,0.1,optimal,2319.376529932558,50.368411379354924,1,1,0.36841137935521573,938.8275603894666,1192.2585113635316,997.18,1.1875859821205237,11.875859821205239
unit,1,nominal,0.1,optimal,2223.31128864137,45.20043216819367,0,0,-0.8437290439166887,1010.7107405452084,928.093896793476,997.18,1.0435331527914724,10.435331527914727
unit,2,cmicl,0.1,optimal,1620.1138319170652,50.50005827331609,1,1,0.5000582733163768,923.0467632922113,1230.7290177229484,997.18,1.1849843612501387,11.849843612501388
unit,2,nominal,0.1,optimal,1579.65957500189,45.86636386646076,0,0,-0.6284582092811632,874.7516656512848,1166.3355542017132,997.18,1.0654520818344917,10.65452081834492
unit,3,cmicl,0.1,optimal,1591.6648494888627,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,3,nominal,0.1,optimal,1458.8801398467624,45.84933948344606,0,1,0.30675073437299005,1096.898,835.9138447418359,997.18,1.0441272099272523,10.441272099272524
unit,4,cmicl,0.1,optimal,830.8966010760139,48.479572560381214,0,0,-1.520427439618544,1096.898,996.855101146614,997.18,1.0597111268437096,10.597111268437096
unit,4,nominal,0.1,optimal,810.7883075540046,45.849339483446066,0,1,0.30675073437299005,1096.898,835.9138447418358,997.18,1.0441272099272532,10.441272099272531
unit,5,cmicl,0.1,optimal,2393.779761653469,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,5,nominal,0.1,optimal,2240.0135318085026,45.84933948344606,0,1,0.30675073437299005,1096.898,835.9138447418359,997.18,1.0441272099272523,10.441272099272524
unit,6,cmicl,0.1,optimal,1251.8390391182434,50.36841137935497,1,1,0.36841137935525836,938.8275603894666,1192.2585113635314,997.18,1.1875859821205237,11.875859821205239
