rho,outcome,bounded,n_rows,n_draws,scale,R_c,out_frac,raw_norm,clipped_norm,reach
0.5,dlt_constraint,True,320,30,0.24951258397613768,2.2317083960490747,0.0007291666666666666,2.236548938959186,2.236517665060431,0.9999860168949535
0.5,blood_constraint,True,320,30,0.2398123806338663,2.144947139773517,0.09572916666666666,2.144947139773516,2.0042404664481888,0.9344008667084521
0.5,constitutional_constraint,True,320,30,0.29386994280729845,2.628452674644379,0.11822916666666665,2.628452674644379,2.4212677595449006,0.9211760907479494
0.5,infection_constraint,True,320,30,0.25566066423709344,2.2866984976275613,0.10354166666666667,2.286698497627561,2.1201920013148112,0.927184761574165
0.5,gi_constraint,True,320,30,0.2679061522846595,2.396225472395637,0.10635416666666667,2.396225472395637,2.2129360962432942,0.9235091278914173
0.5,os_constraint,False,320,30,2.0475934885850515,18.31423292304846,0.0,18.31423292304846,18.31423292304846,1.0
0.75,dlt_constraint,True,320,30,0.24951258397613768,3.347562594073612,0.0011458333333333333,3.0784594192822405,3.0784214294547114,0.9999876594678198
0.75,blood_constraint,True,320,30,0.2398123806338663,3.217420709660275,0.1444791666666667,3.217420709660275,2.892239293107478,0.898931023979412
0.75,constitutional_constraint,True,320,30,0.29386994280729845,3.9426790119665687,0.17687499999999998,3.942679011966569,3.4609332458371225,0.8778125825949101
0.75,infection_constraint,True,320,30,0.25566066423709344,3.430047746441342,0.15750000000000003,3.4300477464413435,3.047139549151496,0.8883665110239025
0.75,gi_constraint,True,320,30,0.2679061522846595,3.594338208593456,0.16083333333333333,3.594338208593456,3.1763141295255886,0.8836992918283421
0.75,os_constraint,False,320,30,2.0475934885850515,27.47134938457269,0.0,27.471349384572697,27.471349384572697,1.0
1.0,dlt_constraint,True,320,30,0.24951258397613768,4.463416792098149,0.0015625000000000003,3.895447315563247,3.8954048238370644,0.99998909195203
1.0,blood_constraint,True,320,30,0.2398123806338663,4.289894279547034,0.1917708333333333,4.289894279547032,3.7075422635244406,0.8642502639752507
1.0,constitutional_constraint,True,320,30,0.29386994280729845,5.256905349288758,0.2305208333333333,5.256905349288758,4.386810816785033,0.8344854102002339
1.0,infection_constraint,True,320,30,0.25566066423709344,4.5733969952551226,0.20635416666666667,4.573396995255122,3.8868363046884027,0.8498794897361802
1.0,gi_constraint,True,320,30,0.2679061522846595,4.792450944791274,0.21500000000000002,4.792450944791274,4.03371614339741,0.8416812586848691
1.0,os_constraint,False,320,30,2.0475934885850515,36.62846584609692,0.0,36.62846584609692,36.62846584609692,1.0
