method,knob,fold,context_idx,solved,feasible,objective
cp@rho=0.5,0.03,0,1,1.0,1.0,11.263978015795239
cp@rho=0.5,0.03,0,2,0.0,nan,nan
cp@rho=0.5,0.03,0,7,1.0,1.0,10.718042393166266
cp@rho=0.5,0.03,0,9,1.0,1.0,9.003543760394718
cp@rho=0.5,0.03,0,26,1.0,1.0,10.234510821126046
cp@rho=0.5,0.03,0,50,1.0,1.0,11.033399948296205
cp@rho=0.5,0.03,0,57,1.0,1.0,9.767125941957394
cp@rho=0.5,0.03,0,73,1.0,1.0,10.060985930617884
cp@rho=0.5,0.03,0,98,0.0,nan,nan
cp@rho=0.5,0.03,0,100,1.0,1.0,9.642802441643031
cp@rho=0.5,0.03,0,110,0.0,nan,nan
cp@rho=0.5,0.03,0,111,1.0,1.0,11.038500263139625
cp@rho=0.5,0.03,0,115,0.0,nan,nan
cp@rho=0.5,0.03,0,158,1.0,1.0,11.317222250398219
cp@rho=0.5,0.03,0,180,1.0,1.0,9.471484241957159
cp@rho=0.5,0.03,0,181,1.0,1.0,12.145778778934107
cp@rho=0.5,0.03,0,192,0.0,nan,nan
cp@rho=0.5,0.03,0,199,1.0,1.0,11.289208429895004
cp@rho=0.5,0.03,0,212,1.0,1.0,11.523641521034108
cp@rho=0.5,0.03,0,214,1.0,1.0,10.157590344038978
cp@rho=0.5,0.03,0,230,1.0,1.0,11.122208739596315
cp@rho=0.5,0.03,0,231,1.0,1.0,9.487035198097452
cp@rho=0.5,0.03,0,240,1.0,1.0,10.312493432465375
cp@rho=0.5,0.03,0,246,0.0,nan,nan
cp@rho=0.5,0.03,0,247,1.0,1.0,11.193915431619883
cp@rho=0.5,0.03,0,248,1.0,1.0,10.794829557072438
cp@rho=0.5,0.03,0,249,1.0,1.0,11.612876726651331
cp@rho=0.5,0.03,0,257,0.0,nan,nan
cp@rho=0.5,0.03,0,275,1.0,1.0,11.531196494272308
cp@rho=0.5,0.03,0,298,1.0,1.0,10.96965360411084
cp@rho=0.5,0.03,0,302,1.0,1.0,11.271798224564956
cp@rho=0.5,0.03,0,303,1.0,1.0,11.215724347069099
cp@rho=0.5,0.03,0,317,1.0,1.0,11.202079259879207
cp@rho=0.5,0.03,1,0,0.0,nan,nan
cp@rho=0.5,0.03,1,10,1.0,1.0,10.051911475385426
cp@rho=0.5,0.03,1,22,0.0,nan,nan
cp@rho=0.5,0.03,1,28,1.0,1.0,11.0835991213777
cp@rho=0.5,0.03,1,42,1.0,1.0,9.517109091215959
cp@rho=0.5,0.03,1,43,1.0,1.0,9.588926838605033
cp@rho=0.5,0.03,1,63,1.0,1.0,11.426733096480254
cp@rho=0.5,0.03,1,92,1.0,1.0,9.853815658383695
cp@rho=0.5,0.03,1,93,1.0,1.0,9.830297170231503
cp@rho=0.5,0.03,1,109,1.0,1.0,10.43845125403243
cp@rho=0.5,0.03,1,113,1.0,1.0,11.363821468775347
cp@rho=0.5,0.03,1,120,1.0,1.0,10.869106810546475
cp@rho=0.5,0.03,1,122,1.0,1.0,11.091928895241887
cp@rho=0.5,0.03,1,123,1.0,1.0,12.23805266210316
cp@rho=0.5,0.03,1,124,1.0,1.0,11.413116013696525
cp@rho=0.5,0.03,1,139,0.0,nan,nan
cp@rho=0.5,0.03,1,143,1.0,1.0,7.335976460425787
cp@rho=0.5,0.03,1,159,1.0,1.0,10.108779593452551
cp@rho=0.5,0.03,1,160,1.0,1.0,9.986148847675011
cp@rho=0.5,0.03,1,188,0.0,nan,nan
cp@rho=0.5,0.03,1,189,1.0,1.0,9.508532285832105
cp@rho=0.5,0.03,1,195,1.0,1.0,9.728003719684198
cp@rho=0.5,0.03,1,198,0.0,nan,nan
cp@rho=0.5,0.03,1,211,0.0,nan,nan
cp@rho=0.5,0.03,1,217,1.0,1.0,11.26396989422073
cp@rho=0.5,0.03,1,244,0.0,nan,nan
cp@rho=0.5,0.03,1,245,1.0,1.0,8.760180800702754
cp@rho=0.5,0.03,1,264,1.0,1.0,9.318249513024213
cp@rho=0.5,0.03,1,267,0.0,nan,nan
cp@rho=0.5,0.03,1,268,1.0,1.0,11.325947574886174
cp@rho=0.5,0.03,1,273,1.0,1.0,11.239069243543796
cp@rho=0.5,0.03,1,293,0.0,nan,nan
cp@rho=0.5,0.03,1,314,1.0,1.0,9.573802379854769
cp@rho=0.5,0.03,2,30,0.0,nan,nan
cp@rho=0.5,0.03,2,53,1.0,1.0,9.485484219369399
cp@rho=0.5,0.03,2,62,1.0,1.0,11.495432190976182
cp@rho=0.5,0.03,2,64,1.0,1.0,9.916096314678734
cp@rho=0.5,0.03,2,65,1.0,1.0,11.031428761285602
cp@rho=0.5,0.03,2,66,1.0,1.0,9.311488631859332
cp@rho=0.5,0.03,2,74,1.0,1.0,9.933438838654853
cp@rho=0.5,0.03,2,99,0.0,nan,nan
cp@rho=0.5,0.03,2,102,1.0,1.0,10.992131097578115
cp@rho=0.5,0.03,2,103,1.0,1.0,9.212007429895605
cp@rho=0.5,0.03,2,104,1.0,1.0,9.61436776508535
cp@rho=0.5,0.03,2,106,1.0,1.0,11.748879581207374
cp@rho=0.5,0.03,2,114,1.0,1.0,10.980176537241825
cp@rho=0.5,0.03,2,116,1.0,1.0,11.613275553157749
cp@rho=0.5,0.03,2,126,1.0,1.0,11.55290535675564
cp@rho=0.5,0.03,2,127,1.0,1.0,10.54240750519368
cp@rho=0.5,0.03,2,132,1.0,1.0,9.126530117550901
cp@rho=0.5,0.03,2,135,1.0,1.0,9.25856232267506
cp@rho=0.5,0.03,2,136,1.0,1.0,9.269764392951044
cp@rho=0.5,0.03,2,137,1.0,1.0,9.27460196178645
cp@rho=0.5,0.03,2,193,0.0,nan,nan
cp@rho=0.5,0.03,2,194,1.0,1.0,9.438311682256177
cp@rho=0.5,0.03,2,218,1.0,1.0,10.384419255807243
cp@rho=0.5,0.03,2,232,1.0,1.0,9.82551429068188
cp@rho=0.5,0.03,2,233,1.0,1.0,12.028366701674429
cp@rho=0.5,0.03,2,236,1.0,1.0,10.61445439175357
cp@rho=0.5,0.03,2,243,1.0,1.0,9.764725739727126
cp@rho=0.5,0.03,2,252,1.0,1.0,10.405720485454129
cp@rho=0.5,0.03,2,269,1.0,1.0,10.39839686982234
cp@rho=0.5,0.03,2,271,1.0,1.0,11.383313077232842
cp@rho=0.5,0.03,2,276,1.0,1.0,10.793978463420084
cp@rho=0.5,0.03,2,277,1.0,1.0,9.792024834025188
cp@rho=0.5,0.03,2,286,0.0,nan,nan
cp@rho=0.5,0.03,2,288,1.0,1.0,11.732719208440509
cp@rho=0.5,0.03,2,297,1.0,1.0,10.471561644087593
cp@rho=0.5,0.03,2,304,0.0,nan,nan
cp@rho=0.5,0.03,2,318,1.0,1.0,10.487443869529072
cp@rho=0.5,0.03,3,4,1.0,1.0,11.616619543598018
cp@rho=0.5,0.03,3,5,1.0,1.0,11.628279347883051
cp@rho=0.5,0.03,3,6,0.0,nan,nan
cp@rho=0.5,0.03,3,38,1.0,1.0,9.38862652421539
cp@rho=0.5,0.03,3,39,0.0,nan,nan
cp@rho=0.5,0.03,3,40,1.0,0.0,11.548976401132471
cp@rho=0.5,0.03,3,41,1.0,0.0,11.590288737806107
cp@rho=0.5,0.03,3,44,1.0,1.0,10.73549545860817
cp@rho=0.5,0.03,3,45,1.0,1.0,9.549299121610217
cp@rho=0.5,0.03,3,54,1.0,0.0,11.741440254745783
cp@rho=0.5,0.03,3,67,1.0,1.0,12.380605619194446
cp@rho=0.5,0.03,3,75,1.0,1.0,12.212035969070184
cp@rho=0.5,0.03,3,77,1.0,1.0,13.260320974378457
cp@rho=0.5,0.03,3,78,1.0,1.0,13.055557258180405
cp@rho=0.5,0.03,3,90,1.0,1.0,11.951199173212098
cp@rho=0.5,0.03,3,91,1.0,1.0,11.8771893660102
cp@rho=0.5,0.03,3,125,1.0,1.0,12.374911012283725
cp@rho=0.5,0.03,3,142,1.0,1.0,11.868983786521886
cp@rho=0.5,0.03,3,144,1.0,1.0,10.687996623266352
cp@rho=0.5,0.03,3,145,1.0,1.0,11.383535975802822
cp@rho=0.5,0.03,3,161,1.0,1.0,13.514901994126797
cp@rho=0.5,0.03,3,163,1.0,0.0,10.405540454245601
cp@rho=0.5,0.03,3,191,0.0,nan,nan
cp@rho=0.5,0.03,3,204,1.0,1.0,12.13657557761534
cp@rho=0.5,0.03,3,205,1.0,1.0,12.303756024355346
cp@rho=0.5,0.03,3,210,1.0,1.0,11.573707737727355
cp@rho=0.5,0.03,3,216,1.0,1.0,9.499289026547762
cp@rho=0.5,0.03,3,219,1.0,1.0,13.627384505892103
cp@rho=0.5,0.03,3,221,1.0,1.0,12.24057636391286
cp@rho=0.5,0.03,3,234,1.0,1.0,12.340049231765711
cp@rho=0.5,0.03,3,235,1.0,1.0,12.229374347874822
cp@rho=0.5,0.03,3,250,1.0,1.0,12.092711811045938
cp@rho=0.5,0.03,3,251,1.0,1.0,12.46649013390369
cp@rho=0.5,0.03,3,255,0.0,nan,nan
cp@rho=0.5,0.03,3,256,1.0,1.0,12.17769011383715
cp@rho=0.5,0.03,3,263,1.0,1.0,12.758666294664105
cp@rho=0.5,0.03,3,265,1.0,1.0,12.61775498132897
cp@rho=0.5,0.03,3,278,1.0,1.0,10.43674304064339
cp@rho=0.5,0.03,3,281,1.0,1.0,11.381599442804509
cp@rho=0.5,0.03,3,282,1.0,1.0,9.162146732019849
cp@rho=0.5,0.03,3,311,1.0,1.0,11.776388958301501
cp@rho=0.5,0.03,3,319,1.0,1.0,12.248637165487395
cp@rho=0.5,0.3,0,1,1.0,1.0,11.263978015795239
cp@rho=0.5,0.3,0,2,1.0,0.0,11.403622887775091
cp@rho=0.5,0.3,0,7,1.0,1.0,10.718042393166266
cp@rho=0.5,0.3,0,9,1.0,1.0,9.003543760394718
cp@rho=0.5,0.3,0,26,1.0,1.0,10.234510821126046
cp@rho=0.5,0.3,0,50,1.0,1.0,11.033399948296205
cp@rho=0.5,0.3,0,57,1.0,1.0,9.767125941957394
cp@rho=0.5,0.3,0,73,1.0,1.0,10.060985930617884
cp@rho=0.5,0.3,0,98,1.0,1.0,11.351409860205878
cp@rho=0.5,0.3,0,100,1.0,0.0,11.90255584940804
cp@rho=0.5,0.3,0,110,0.0,nan,nan
cp@rho=0.5,0.3,0,111,1.0,1.0,11.038500263139625
cp@rho=0.5,0.3,0,115,1.0,1.0,11.42267053910637
cp@rho=0.5,0.3,0,158,1.0,1.0,11.317222250398219
cp@rho=0.5,0.3,0,180,1.0,1.0,11.587868053114896
cp@rho=0.5,0.3,0,181,1.0,1.0,12.145778778934107
