method,knob,fold,context_idx,solved,feasible,objective
cp@rho=1,10.0,0,-1,1.0,0.0,5.576982962071992
cp@rho=1,10.0,1,-1,1.0,0.0,5.60432759441114
cp@rho=1,10.0,2,-1,1.0,0.0,5.372324844563439
cp@rho=1,10.0,3,-1,1.0,0.0,5.426483690446379
cp@rho=1,10.0,4,-1,1.0,0.0,5.542240469460974
cp@rho=1,10.0,5,-1,1.0,0.0,5.511883085022102
cp@rho=1,10.0,6,-1,1.0,0.0,5.598993218261168
cp@rho=1,10.0,7,-1,1.0,0.0,5.504892371403136
cp@rho=1,10.0,8,-1,1.0,0.0,5.429150827565729
cp@rho=1,10.0,9,-1,1.0,0.0,5.496489686134366
cp@rho=1,3.0,0,-1,1.0,0.0,5.576982962071992
cp@rho=1,3.0,1,-1,1.0,0.0,5.60432759441114
cp@rho=1,3.0,2,-1,1.0,0.0,5.552999859405211
cp@rho=1,3.0,3,-1,1.0,0.0,5.575399315022963
cp@rho=1,3.0,4,-1,1.0,0.0,5.591432196407499
cp@rho=1,3.0,5,-1,1.0,0.0,5.540367111784288
cp@rho=1,3.0,6,-1,1.0,0.0,5.598993218261168
cp@rho=1,3.0,7,-1,1.0,0.0,5.593336161326778
cp@rho=1,3.0,8,-1,1.0,0.0,5.572606554979288
cp@rho=1,3.0,9,-1,1.0,0.0,5.496489686134366
cp@rho=1,1.0,0,-1,1.0,0.0,5.591950699160969
cp@rho=1,1.0,1,-1,1.0,0.0,5.702744360174717
cp@rho=1,1.0,2,-1,1.0,0.0,5.610787900410903
cp@rho=1,1.0,3,-1,1.0,0.0,5.7492650905489056
cp@rho=1,1.0,4,-1,1.0,0.0,5.591432196407499
cp@rho=1,1.0,5,-1,1.0,0.0,5.550421842318698
cp@rho=1,1.0,6,-1,1.0,0.0,5.666646308380254
cp@rho=1,1.0,7,-1,1.0,0.0,5.72187231540472
cp@rho=1,1.0,8,-1,1.0,0.0,5.6849338357704235
cp@rho=1,1.0,9,-1,1.0,0.0,5.698459897443969
cp@rho=1,0.3,0,-1,1.0,0.0,5.672556755752884
cp@rho=1,0.3,1,-1,1.0,0.0,5.744362844741043
cp@rho=1,0.3,2,-1,1.0,0.0,5.688410995916991
cp@rho=1,0.3,3,-1,1.0,0.0,5.751219061972873
cp@rho=1,0.3,4,-1,1.0,0.0,5.6793730983206325
cp@rho=1,0.3,5,-1,1.0,0.0,5.643377334778827
cp@rho=1,0.3,6,-1,1.0,0.0,5.710627646920428
cp@rho=1,0.3,7,-1,1.0,0.0,5.72187231540472
cp@rho=1,0.3,8,-1,1.0,0.0,5.6849338357704235
cp@rho=1,0.3,9,-1,1.0,1.0,5.710157621668171
cp@rho=1,0.1,0,-1,1.0,0.0,5.672556755752884
cp@rho=1,0.1,1,-1,1.0,0.0,5.746156534860834
cp@rho=1,0.1,2,-1,1.0,0.0,5.688410995916991
cp@rho=1,0.1,3,-1,1.0,0.0,5.751219061972873
cp@rho=1,0.1,4,-1,1.0,0.0,5.6793730983206325
