method,knob,feas,obj,solved,status,n_capped,master_time_s,test_time_s,test_time_per_point_s
wrapper@rho=4,0.4,0.0,2957.516928622945,1.0,optimal,0,68.87745904922485,0.0,0.0
wrapper@rho=4,0.15,0.0,3074.3691128369956,1.0,optimal,0,40.3434362411499,0.0,0.0
wrapper@rho=4,0.05,0.4,3141.543325348111,1.0,optimal,0,17.210550165176393,0.0,0.0
wrapper@rho=4,0.0,0.5,3204.3891540978357,1.0,optimal,0,3.7318694591522217,0.0,0.0
wrapper@rho=4,0.1,0.0,3100.004727088789,1.0,optimal,0,28.870637464523316,0.0,0.0
wrapper@rho=5,0.4,0.0,2999.339130873297,1.0,optimal,0,308.8565889120102,0.0,0.0
wrapper@rho=5,0.15,0.1,3137.394019481656,1.0,optimal,0,54.20339386463165,0.0,0.0
wrapper@rho=5,0.05,0.3,3197.495170721965,1.0,optimal,0,18.70787489414215,0.0,0.0
wrapper@rho=5,0.0,0.7,3248.0724798487854,1.0,optimal,0,5.6617848634719845,0.0,0.0
wrapper@rho=5,0.2,0.1,3103.873116193829,1.0,optimal,0,92.48809020519256,0.0,0.0
wrapper@rho=5,0.1,0.2,3166.7098931353366,1.0,optimal,0,39.63833036422729,0.0,0.0
wrapper@rho=6,0.4,0.0,2985.8182120225492,1.0,optimal,0,493.57234516143797,0.0,0.0
wrapper@rho=6,0.15,0.1,3143.2922876730017,1.0,optimal,0,115.56428534984589,0.0,0.0
wrapper@rho=6,0.05,0.7,3220.1417844529196,1.0,optimal,0,24.746555519104003,0.0,0.0
wrapper@rho=6,0.0,0.9,3281.337125501097,1.0,optimal,0,6.9258805274963375,0.0,0.0
wrapper@rho=6,0.1,0.4,3184.480924624752,1.0,optimal,0,43.00880665779114,0.0,0.0
wrapper@rho=6,0.2,0.1,3106.5718023952754,1.0,optimal,0,169.007714509964,0.0,0.0
