problem,method,rho,dial_name,search,dial,robustness_rank,reason
reactor,cp,2.0,tau,adaptive,10.0,0,"pruned: less robust than tau=3, which scored feasibility 0"
reactor,wrapper,5.0,alpha,adaptive,0.95,0,"pruned: less robust than alpha=0.4, which scored feasibility 0"
reactor,wrapper,5.0,alpha,adaptive,0.9,1,"pruned: less robust than alpha=0.4, which scored feasibility 0"
reactor,wrapper,5.0,alpha,adaptive,0.8,2,"pruned: less robust than alpha=0.4, which scored feasibility 0"
reactor,wrapper,5.0,alpha,adaptive,0.7,3,"pruned: less robust than alpha=0.4, which scored feasibility 0"
reactor,wrapper,5.0,alpha,adaptive,0.6,4,"pruned: less robust than alpha=0.4, which scored feasibility 0"
reactor,wrapper,5.0,alpha,adaptive,0.5,5,"pruned: less robust than alpha=0.4, which scored feasibility 0"
reactor,wrapper,5.0,alpha,adaptive,0.3,7,not reached: eval budget 6 spent
reactor,wrapper,6.0,alpha,adaptive,0.95,0,"pruned: less robust than alpha=0.4, which scored feasibility 0"
reactor,wrapper,6.0,alpha,adaptive,0.9,1,"pruned: less robust than alpha=0.4, which scored feasibility 0"
reactor,wrapper,6.0,alpha,adaptive,0.8,2,"pruned: less robust than alpha=0.4, which scored feasibility 0"
reactor,wrapper,6.0,alpha,adaptive,0.7,3,"pruned: less robust than alpha=0.4, which scored feasibility 0"
reactor,wrapper,6.0,alpha,adaptive,0.6,4,"pruned: less robust than alpha=0.4, which scored feasibility 0"
reactor,wrapper,6.0,alpha,adaptive,0.5,5,"pruned: less robust than alpha=0.4, which scored feasibility 0"
reactor,wrapper,6.0,alpha,adaptive,0.3,7,not reached: eval budget 6 spent
reactor,margin,,margin,adaptive,0.0,0,"pruned: less robust than margin=1.25, which scored feasibility 0"
reactor,margin,,margin,adaptive,0.1,1,"pruned: less robust than margin=1.25, which scored feasibility 0"
reactor,margin,,margin,adaptive,0.2,2,"pruned: less robust than margin=1.25, which scored feasibility 0"
reactor,margin,,margin,adaptive,0.3,3,"pruned: less robust than margin=1.25, which scored feasibility 0"
reactor,margin,,margin,adaptive,0.4,4,"pruned: less robust than margin=1.25, which scored feasibility 0"
reactor,margin,,margin,adaptive,0.625,6,"pruned: less robust than margin=1.25, which scored feasibility 0"
reactor,margin,,margin,adaptive,0.75,7,"pruned: less robust than margin=1.25, which scored feasibility 0"
reactor,margin,,margin,adaptive,1.0,9,"pruned: less robust than margin=1.25, which scored feasibility 0"
reactor,cmicl,,alpha,adaptive,1.0,0,"pruned: less robust than alpha=0.2, which scored feasibility 0"
reactor,cmicl,,alpha,adaptive,0.95,1,"pruned: less robust than alpha=0.2, which scored feasibility 0"
reactor,cmicl,,alpha,adaptive,0.9,2,"pruned: less robust than alpha=0.2, which scored feasibility 0"
reactor,cmicl,,alpha,adaptive,0.8,3,"pruned: less robust than alpha=0.2, which scored feasibility 0"
reactor,cmicl,,alpha,adaptive,0.7,4,"pruned: less robust than alpha=0.2, which scored feasibility 0"
reactor,cmicl,,alpha,adaptive,0.6,5,"pruned: less robust than alpha=0.2, which scored feasibility 0"
reactor,cmicl,,alpha,adaptive,0.5,6,"pruned: less robust than alpha=0.2, which scored feasibility 0"
reactor,cmicl,,alpha,adaptive,0.4,7,"pruned: less robust than alpha=0.2, which scored feasibility 0"
reactor,cmicl,,alpha,adaptive,0.3,8,"pruned: less robust than alpha=0.2, which scored feasibility 0"
