method,knob,feas,obj,solved,status,n_capped,master_time_s,test_time_s,test_time_per_point_s
nominal,0.0,0.0,2942.0474546181977,1.0,optimal,0,0.5629530191421509,0.0,0.0
cp@rho=0.05,0.01,0.0,3038.004832829701,1.0,optimal,0,77.82314550876617,0.0,0.0
cp@rho=0.1,0.01,0.0,3035.332598749064,1.0,optimal,0,85.07637917995453,0.0,0.0
cp@rho=0.2,0.01,0.0,3041.960680320336,1.0,optimal,0,76.25923235416413,0.0,0.0
cp@rho=0.3,0.01,0.0,3052.080555652125,1.0,optimal,0,81.13818254470826,0.0,0.0
cp@rho=0.5,0.01,0.0,3066.8411185258506,1.0,optimal,0,79.49482555389405,0.0,0.0
cp@rho=0.75,0.01,0.0,3093.8667936161705,1.0,optimal,0,76.94577028751374,0.0,0.0
cp@rho=1,0.01,0.0,3105.2466636361555,1.0,optimal,0,72.86833565235138,0.0,0.0
wrapper@rho=0.05,0.2,0.0,2968.7325006534315,1.0,optimal,0,19.307666993141176,0.0,0.0
wrapper@rho=0.1,0.2,0.0,2970.031384778708,1.0,optimal,0,19.471168971061708,0.0,0.0
wrapper@rho=0.2,0.2,0.0,2971.071150947765,1.0,optimal,0,19.530768752098083,0.0,0.0
wrapper@rho=0.3,0.2,0.0,2974.1682816903835,1.0,optimal,0,21.254604125022887,0.0,0.0
wrapper@rho=0.5,0.2,0.0,2976.410823514011,1.0,optimal,0,19.642941212654115,0.0,0.0
wrapper@rho=0.75,0.2,0.0,2993.317156163758,1.0,optimal,0,24.015150570869444,0.0,0.0
wrapper@rho=1,0.2,0.0,3002.0347823635707,1.0,optimal,0,26.55815279483795,0.0,0.0
margin@margin=0.05,0.05,0.0,2947.665658318874,1.0,optimal,0,2.7624840259552004,0.0,0.0
margin@margin=0.1,0.1,0.0,2953.323317192393,1.0,optimal,0,2.8507704734802246,0.0,0.0
margin@margin=0.2,0.2,0.0,2964.7235960945277,1.0,optimal,0,2.3661739826202393,0.0,0.0
margin@margin=0.3,0.3,0.0,2976.1238749966624,1.0,optimal,0,2.3881293535232544,0.0,0.0
margin@margin=0.5,0.5,0.0,2998.927504474924,1.0,optimal,0,2.539602494239807,0.0,0.0
margin@margin=0.75,0.75,0.0,3027.4840971232097,1.0,optimal,0,2.8769448041915893,0.0,0.0
margin@margin=1,1.0,0.0,3056.0613089797725,1.0,optimal,0,2.732349991798401,0.0,0.0
cp@rho=0.3@tau=1,1.0,0.0,2988.8202541026567,1.0,optimal,0,80.89718809127808,0.0,0.0
cp@rho=0.3@tau=0.1,0.1,0.0,3049.870183259948,1.0,optimal,0,81.0141622543335,0.0,0.0
cp@rho=0.3@tau=0.01,0.01,0.0,3052.080555652125,1.0,optimal,0,75.49661712646484,0.0,0.0
cp@rho=0.3@tau=0.001,0.001,0.0,3052.1184090215106,1.0,optimal,0,81.00796675682068,0.0,0.0
wrapper@rho=0.3@alpha=0,0.0,0.0,3008.5405664277587,1.0,optimal,0,11.600007677078247,0.0,0.0
wrapper@rho=0.3@alpha=0.1,0.1,0.0,2986.3014265969473,1.0,optimal,0,18.088811779022215,0.0,0.0
wrapper@rho=0.3@alpha=0.2,0.2,0.0,2974.1682816903835,1.0,optimal,0,20.280998468399048,0.0,0.0
wrapper@rho=0.3@alpha=0.3,0.3,0.0,2962.118582927927,1.0,optimal,0,22.957282924652098,0.0,0.0
wrapper@rho=0.3@alpha=0.5,0.5,0.0,2942.5128647263696,1.0,optimal,0,19.601206493377685,0.0,0.0
