problem,method,feasibility,objective,solved_frac,status,n_capped,master_time_s,test_time_s,test_time_per_point_s,coherent,matched_bank,rho,knob,phase
synthetic,nominal,0.5,-1.34895710892821,1.0,optimal,0,0.6837381720542908,0.0,0.0,True,False,0.05,0.0,rho_sweep
synthetic,cp,0.25,-1.3343360550251053,1.0,optimal,0,9.658643543720245,0.0,0.0,True,False,0.05,0.01,rho_sweep
synthetic,wrapper,0.25,-1.3445247634848139,1.0,optimal,0,39.569211304187775,0.0,0.0,True,False,0.05,0.2,rho_sweep
synthetic,robust_reg,0.25,-1.3400336021557848,1.0,optimal,0,0.8887549638748169,0.0,0.0,True,False,0.05,0.05,rho_sweep
synthetic,nominal,0.5,-1.34895710892821,1.0,optimal,0,0.6557804346084595,0.0,0.0,True,False,0.1,0.0,rho_sweep
synthetic,cp,0.25,-1.327328034249255,1.0,optimal,0,9.801601648330688,0.0,0.0,True,False,0.1,0.01,rho_sweep
synthetic,wrapper,0.25,-1.343246535055881,1.0,optimal,0,65.28470170497894,0.0,0.0,True,False,0.1,0.2,rho_sweep
synthetic,robust_reg,0.25,-1.3384575302326178,1.0,optimal,0,0.9795949459075928,0.0,0.0,True,False,0.1,0.1,rho_sweep
synthetic,nominal,0.5,-1.34895710892821,1.0,optimal,0,0.6852200031280518,0.0,0.0,True,False,0.2,0.0,rho_sweep
synthetic,cp,0.25,-1.308887325847142,1.0,optimal,0,10.431993901729584,0.0,0.0,True,False,0.2,0.01,rho_sweep
synthetic,wrapper,0.25,-1.3406333088711846,1.0,optimal,0,46.69955211877823,0.0,0.0,True,False,0.2,0.2,rho_sweep
synthetic,robust_reg,0.25,-1.3423255394401097,1.0,optimal,0,0.8672392964363098,0.0,0.0,True,False,0.2,0.2,rho_sweep
synthetic,nominal,0.5,-1.34895710892821,1.0,optimal,0,0.6330366730690002,0.0,0.0,True,False,0.3,0.0,rho_sweep
synthetic,cp,0.25,-1.3060333162985711,1.0,optimal,0,9.546428084373474,0.0,0.0,True,False,0.3,0.01,rho_sweep
synthetic,wrapper,0.25,-1.3377815826050297,1.0,optimal,0,67.7872764468193,0.0,0.0,True,False,0.3,0.2,rho_sweep
synthetic,robust_reg,0.25,-1.3367918538709325,1.0,optimal,0,0.9480998516082764,0.0,0.0,True,False,0.3,0.3,rho_sweep
synthetic,nominal,0.5,-1.34895710892821,1.0,optimal,0,0.6375621557235718,0.0,0.0,True,False,0.5,0.0,rho_sweep
synthetic,cp,1.0,-1.262138797761509,1.0,optimal,0,48.87382376194,0.0,0.0,True,False,0.5,0.01,rho_sweep
synthetic,wrapper,0.25,-1.3110167487487643,1.0,optimal,0,57.25281012058258,0.0,0.0,True,False,0.5,0.2,rho_sweep
synthetic,robust_reg,0.0,-1.3304314461255777,1.0,optimal,0,0.7507135272026062,0.0,0.0,True,False,0.5,0.5,rho_sweep
synthetic,nominal,0.5,-1.34895710892821,1.0,optimal,0,0.6259572505950928,0.0,0.0,True,False,0.75,0.0,rho_sweep
synthetic,cp,1.0,-1.2245441186778339,1.0,optimal,0,140.24068361520767,0.0,0.0,True,False,0.75,0.01,rho_sweep
synthetic,wrapper,0.25,-1.3037128548045707,1.0,optimal,0,85.90210473537445,0.0,0.0,True,False,0.75,0.2,rho_sweep
synthetic,robust_reg,0.0,-1.3497984144046997,1.0,optimal,0,0.8078760504722595,0.0,0.0,True,False,0.75,0.75,rho_sweep
synthetic,nominal,0.5,-1.34895710892821,1.0,optimal,0,0.748507022857666,0.0,0.0,True,False,1.0,0.0,rho_sweep
synthetic,cp,1.0,-1.2070990696510555,1.0,optimal,0,122.77285867929459,0.0,0.0,True,False,1.0,0.01,rho_sweep
synthetic,wrapper,0.25,-1.294189503924784,1.0,optimal,0,64.24641555547714,0.0,0.0,True,False,1.0,0.2,rho_sweep
synthetic,robust_reg,0.0,-1.3872403556121093,1.0,optimal,0,0.5859527587890625,0.0,0.0,True,False,1.0,1.0,rho_sweep
